size_multiplier,dx_fraction,dy_fraction,training_pairing,heldout_wins,exact_permutation_p,numeric_status
0.85,0.0,0.0,NW_ES,3,0.04878048780487805,PASS
0.85,0.05,0.0,NW_ES,3,0.04878048780487805,PASS
0.85,-0.05,0.0,NW_ES,3,0.04878048780487805,PASS
0.85,0.0,0.05,NW_ES,3,0.04878048780487805,PASS
0.85,0.0,-0.05,NW_ES,3,0.04878048780487805,PASS
1.0,0.0,0.0,NW_ES,3,0.07317073170731707,FAIL
1.0,0.05,0.0,NW_ES,3,0.07317073170731707,FAIL
1.0,-0.05,0.0,NW_ES,3,0.06097560975609756,FAIL
1.0,0.0,0.05,NW_ES,3,0.07317073170731707,FAIL
1.0,0.0,-0.05,NW_ES,3,0.06097560975609756,FAIL
1.15,0.0,0.0,NW_ES,3,0.0975609756097561,FAIL
1.15,0.05,0.0,NW_ES,3,0.08536585365853659,FAIL
1.15,-0.05,0.0,NW_ES,2,0.1951219512195122,FAIL
1.15,0.0,0.05,NW_ES,3,0.12195121951219512,FAIL
1.15,0.0,-0.05,NW_ES,3,0.0975609756097561,FAIL
