location,date,jd_ut,type,umbral_magnitude,penumbral_magnitude,moon_altitude_deg
Milan,1405-06-12 20:03 UT (Julian),2234397.3350898256,penumbral,0.0,0.46811134017096045,7.430262280539825
Paris,1405-06-12 20:03 UT (Julian),2234397.3350898256,penumbral,0.0,0.46811134017096045,1.887571803654846
Prague,1405-06-12 20:03 UT (Julian),2234397.3350898256,penumbral,0.0,0.46811134017096045,6.537054067443924
Vienna,1405-06-12 20:03 UT (Julian),2234397.3350898256,penumbral,0.0,0.46811134017096045,8.761667313574446
Milan,1405-12-06 06:25 UT (Julian),2234573.7676324975,partial,0.035423321870743894,1.0299858562576873,4.273099543990199
Paris,1405-12-06 06:25 UT (Julian),2234573.7676324975,partial,0.035423321870743894,1.0299858562576873,9.828176053279055
Prague,1405-12-06 06:25 UT (Julian),2234573.7676324975,partial,0.035423321870743894,1.0299858562576873,3.4341290893195944
Vienna,1405-12-06 06:25 UT (Julian),2234573.7676324975,partial,0.035423321870743894,1.0299858562576873,1.5020396454786389
Milan,1406-06-02 00:39 UT (Julian),2234751.526871293,partial,0.7677917120409048,1.8303026073100641,18.96199503310583
Paris,1406-06-02 00:39 UT (Julian),2234751.526871293,partial,0.7677917120409048,1.8303026073100641,16.924127825281392
Prague,1406-06-02 00:39 UT (Julian),2234751.526871293,partial,0.7677917120409048,1.8303026073100641,13.384717604151595
Vienna,1406-06-02 00:39 UT (Julian),2234751.526871293,partial,0.7677917120409048,1.8303026073100641,14.565224612114147
Milan,1406-11-25 21:29 UT (Julian),2234928.3952425094,total,1.3054470104775515,2.2748374976897137,57.62246799660867
Paris,1406-11-25 21:29 UT (Julian),2234928.3952425094,total,1.3054470104775515,2.2748374976897137,51.78230081488443
Prague,1406-11-25 21:29 UT (Julian),2234928.3952425094,total,1.3054470104775515,2.2748374976897137,56.82576389497338
Vienna,1406-11-25 21:29 UT (Julian),2234928.3952425094,total,1.3054470104775515,2.2748374976897137,59.11886842929798
Milan,1407-05-22 01:12 UT (Julian),2235105.549804508,total,1.4898873471698686,2.5559893307774737,17.116628847738387
Paris,1407-05-22 01:12 UT (Julian),2235105.549804508,total,1.4898873471698686,2.5559893307774737,15.900889490236873
Prague,1407-05-22 01:12 UT (Julian),2235105.549804508,total,1.4898873471698686,2.5559893307774737,11.372011018025521
Vienna,1407-05-22 01:12 UT (Julian),2235105.549804508,total,1.4898873471698686,2.5559893307774737,12.264565629276328
Vienna,1407-11-15 15:09 UT (Julian),2235283.1309799403,penumbral,0.0,0.22766532204643214,0.19768307366496551
Prague,1407-11-15 15:09 UT (Julian),2235283.1312952284,penumbral,0.0,0.22004216751189398,0.1979293776077925
Vienna,1408-05-10 03:03 UT (Julian),2235459.627210808,penumbral,0.0,0.26103167025685486,0.18386810388558683
Prague,1408-05-10 03:04 UT (Julian),2235459.627525246,penumbral,0.0,0.26659498227054235,0.1841044592695565
Milan,1408-05-10 03:42 UT (Julian),2235459.654424055,penumbral,0.0,0.7024045756319008,0.18341550273951707
Paris,1408-05-10 03:58 UT (Julian),2235459.665131725,penumbral,0.0,0.847229881520928,0.18271869504551103
Milan,1408-11-03 23:32 UT (Julian),2235637.4802492675,penumbral,0.0,0.8467695063980306,62.532289902202514
Paris,1408-11-03 23:32 UT (Julian),2235637.4802492675,penumbral,0.0,0.8467695063980306,59.5843339289555
Prague,1408-11-03 23:32 UT (Julian),2235637.4802492675,penumbral,0.0,0.8467695063980306,57.01838454499943
Vienna,1408-11-03 23:32 UT (Julian),2235637.4802492675,penumbral,0.0,0.8467695063980306,58.26691921309392
Milan,1410-03-21 00:13 UT (Julian),2236139.5091027743,total,1.413395259977498,2.369694834486582,39.60442793163652
Paris,1410-03-21 00:13 UT (Julian),2236139.5091027743,total,1.413395259977498,2.369694834486582,37.039754999342996
Prague,1410-03-21 00:13 UT (Julian),2236139.5091027743,total,1.413395259977498,2.369694834486582,34.09526309295048
Vienna,1410-03-21 00:13 UT (Julian),2236139.5091027743,total,1.413395259977498,2.369694834486582,35.381789720476476
Vienna,1411-03-10 17:11 UT (Julian),2236494.2161692623,penumbral,0.0,0.4424605672757952,0.19340324108623058
Prague,1411-03-10 17:20 UT (Julian),2236494.222077699,penumbral,0.0,0.30652838875011124,0.19365680931853807
Vienna,1411-09-02 17:15 UT (Julian),2236670.218529141,partial,0.9608727404835485,1.9684827183186875,0.1894518593095635
Prague,1411-09-02 17:24 UT (Julian),2236670.2250467157,partial,0.8530453248123074,1.8607175049193834,0.18967742277901778
Milan,1411-09-02 17:42 UT (Julian),2236670.2373043103,partial,0.6212403228287556,1.6290239355913425,0.18900686442345405
Paris,1411-09-02 18:12 UT (Julian),2236670.258168489,partial,0.17995841729627196,1.1879150413553043,0.18827352766465083
Milan,1412-02-27 23:40 UT (Julian),2236848.4862228814,penumbral,0.0,0.6010960722586345,47.91837116940799
Paris,1412-02-27 23:40 UT (Julian),2236848.4862228814,penumbral,0.0,0.6010960722586345,44.313274712409196
Prague,1412-02-27 23:40 UT (Julian),2236848.4862228814,penumbral,0.0,0.6010960722586345,42.88386288694615
Vienna,1412-02-27 23:40 UT (Julian),2236848.4862228814,penumbral,0.0,0.6010960722586345,44.48311932388418
Milan,1412-07-23 22:49 UT (Julian),2236995.450643128,penumbral,0.0,0.17059437745627984,23.533425109540204
Paris,1412-07-23 22:49 UT (Julian),2236995.450643128,penumbral,0.0,0.17059437745627984,19.089425752069108
Prague,1412-07-23 22:49 UT (Julian),2236995.450643128,penumbral,0.0,0.17059437745627984,19.43179595170046
Vienna,1412-07-23 22:49 UT (Julian),2236995.450643128,penumbral,0.0,0.17059437745627984,21.399282099731813
Milan,1412-08-22 04:39 UT (Julian),2237024.693997307,penumbral,0.0,0.19527906519713695,0.19968575752844087
Paris,1412-08-22 05:04 UT (Julian),2237024.7107648677,penumbral,0.0,0.4567173356116968,0.19896177318730773
Milan,1413-01-17 06:34 UT (Julian),2237172.773863236,penumbral,0.0,1.019355690679887,3.9061122886737745
Paris,1413-01-17 06:34 UT (Julian),2237172.773863236,penumbral,0.0,1.019355690679887,9.37001532015445
Prague,1413-01-17 06:34 UT (Julian),2237172.773863236,penumbral,0.0,1.019355690679887,2.7497170232196515
Vienna,1413-01-17 06:34 UT (Julian),2237172.773863236,penumbral,0.0,1.019355690679887,0.9099596776842338
Vienna,1414-01-06 06:44 UT (Julian),2237526.7807500167,partial,0.3278433274859793,1.390828389910601,0.18228119552407224
Prague,1414-01-06 07:00 UT (Julian),2237526.791658681,partial,0.5566044113458084,1.6197218250457144,0.1824956032962472
Milan,1414-01-06 07:03 UT (Julian),2237526.7940142504,partial,0.6047897308016001,1.6679350139267295,0.18186188520769891
Paris,1414-01-06 07:44 UT (Julian),2237526.822377706,total,1.1104442047723848,2.1739052725770485,0.1811345703875803
Prague,1414-07-03 02:59 UT (Julian),2237704.6245898595,partial,0.02552126772996742,1.0308967416209898,0.18749883040411935
Vienna,1414-07-03 03:00 UT (Julian),2237704.625101586,partial,0.03774371909937607,1.0431156554927306,0.1872604429190004
Milan,1414-07-03 03:42 UT (Julian),2237704.6541820425,partial,0.7323795232509829,1.7375302754253321,0.18692808231449576
Paris,1414-07-03 03:56 UT (Julian),2237704.6640382973,partial,0.9678348469667338,1.972901641660479,0.18627027848728694
Milan,1414-12-26 16:54 UT (Julian),2237881.20382993,total,1.1411662046992694,2.147584736881712,9.0079164980606
Paris,1414-12-26 16:54 UT (Julian),2237881.20382993,total,1.1411662046992694,2.147584736881712,6.188333310995889
Prague,1414-12-26 16:54 UT (Julian),2237881.20382993,total,1.1411662046992694,2.147584736881712,13.860776151210036
Vienna,1414-12-26 16:54 UT (Julian),2237881.20382993,total,1.1411662046992694,2.147584736881712,14.533384007545493
Vienna,1415-12-16 06:39 UT (Julian),2238235.7768773003,penumbral,0.0,0.8514805008232343,0.2023369126422513
Prague,1415-12-16 06:55 UT (Julian),2238235.788201075,penumbral,0.0,0.9185256295688258,0.20257933733689498
Milan,1415-12-16 06:58 UT (Julian),2238235.790044939,penumbral,0.0,0.9255223828574896,0.2019145578980967
Paris,1415-12-16 07:12 UT (Julian),2238235.800272358,penumbral,0.0,0.9434442500446287,3.5579053562071983
Milan,1416-05-11 21:15 UT (Julian),2238383.3852479164,penumbral,0.0,0.5572787576839996,16.835549691579146
Paris,1416-05-11 21:15 UT (Julian),2238383.3852479164,penumbral,0.0,0.5572787576839996,11.463542522171908
Prague,1416-05-11 21:15 UT (Julian),2238383.3852479164,penumbral,0.0,0.5572787576839996,14.349736705042945
Vienna,1416-05-11 21:15 UT (Julian),2238383.3852479164,penumbral,0.0,0.5572787576839996,16.57732268274499
Milan,1417-05-01 02:58 UT (Julian),2238737.62351238,partial,0.9974957110792535,2.0080536302679333,8.658928864254602
Paris,1417-05-01 02:58 UT (Julian),2238737.62351238,partial,0.9974957110792535,2.0080536302679333,9.940274937977708
Prague,1417-05-01 02:58 UT (Julian),2238737.62351238,partial,0.9974957110792535,2.0080536302679333,3.2133109213883544
Vienna,1417-05-01 02:58 UT (Julian),2238737.62351238,partial,0.9974957110792535,2.0080536302679333,3.1812356561549606
Milan,1417-10-25 20:08 UT (Julian),2238915.3386558415,total,1.2118114636663628,2.2697419141486677,41.35665685968393
Paris,1417-10-25 20:08 UT (Julian),2238915.3386558415,total,1.2118114636663628,2.2697419141486677,35.72422427620736
Prague,1417-10-25 20:08 UT (Julian),2238915.3386558415,total,1.2118114636663628,2.2697419141486677,42.27270587848672
Vienna,1417-10-25 20:08 UT (Julian),2238915.3386558415,total,1.2118114636663628,2.2697419141486677,44.38658889360706
Vienna,1418-04-20 18:09 UT (Julian),2239092.256002003,penumbral,0.0,0.19671697106583735,0.19822232011717772
Milan,1418-10-14 22:02 UT (Julian),2239269.4179924517,total,1.1234714552962546,2.2180003261540335,52.32949319617035
Paris,1418-10-14 22:02 UT (Julian),2239269.4179924517,total,1.1234714552962546,2.2180003261540335,46.94142921916425
Prague,1418-10-14 22:02 UT (Julian),2239269.4179924517,total,1.1234714552962546,2.2180003261540335,49.37657561826983
Vienna,1418-10-14 22:02 UT (Julian),2239269.4179924517,total,1.1234714552962546,2.2180003261540335,51.5551013762368
Milan,1419-10-03 21:43 UT (Julian),2239623.4045913066,penumbral,0.0,0.9378509038743414,45.86685203315676
Paris,1419-10-03 21:43 UT (Julian),2239623.4045913066,penumbral,0.0,0.9378509038743414,40.321113076029306
Prague,1419-10-03 21:43 UT (Julian),2239623.4045913066,penumbral,0.0,0.9378509038743414,43.44080410428367
Vienna,1419-10-03 21:43 UT (Julian),2239623.4045913066,penumbral,0.0,0.9378509038743414,45.68214393746212
Milan,1421-02-17 19:41 UT (Julian),2240126.3202178264,total,1.4148609623237165,2.4886257794796687,26.774702518423155
Paris,1421-02-17 19:41 UT (Julian),2240126.3202178264,total,1.4148609623237165,2.4886257794796687,21.373321461317868
Prague,1421-02-17 19:41 UT (Julian),2240126.3202178264,total,1.4148609623237165,2.4886257794796687,28.45312107293366
Vienna,1421-02-17 19:41 UT (Julian),2240126.3202178264,total,1.4148609623237165,2.4886257794796687,30.401337970397318
Vienna,1421-08-13 03:50 UT (Julian),2240302.6600128883,penumbral,0.0,0.1920730799375219,0.20170435293381445
Prague,1421-08-13 03:54 UT (Julian),2240302.6627198188,penumbral,0.0,0.26034339634031295,0.20195150483100127
Milan,1421-08-13 04:26 UT (Julian),2240302.685042789,penumbral,0.0,0.8208531689498154,0.20127253892622105
Paris,1421-08-13 04:48 UT (Julian),2240302.7001470085,partial,0.24701593178136239,1.1960173998049342,0.20055501268516168
Milan,1422-02-06 19:51 UT (Julian),2240480.32687813,partial,0.9214317253198738,2.0211160516787414,31.47089178493003
Paris,1422-02-06 19:51 UT (Julian),2240480.32687813,partial,0.9214317253198738,2.0211160516787414,26.13658913829185
Prague,1422-02-06 19:51 UT (Julian),2240480.32687813,partial,0.9214317253198738,2.0211160516787414,33.33314536670024
Vienna,1422-02-06 19:51 UT (Julian),2240480.32687813,partial,0.9214317253198738,2.0211160516787414,35.24873624203886
Milan,1422-08-02 23:13 UT (Julian),2240657.467650122,partial,0.9821416027962274,1.9345378401636664,27.723823485347005
Paris,1422-08-02 23:13 UT (Julian),2240657.467650122,partial,0.9821416027962274,1.9345378401636664,23.722291891773924
Prague,1422-08-02 23:13 UT (Julian),2240657.467650122,partial,0.9821416027962274,1.9345378401636664,23.14862853796052
Vienna,1422-08-02 23:13 UT (Julian),2240657.467650122,partial,0.9821416027962274,1.9345378401636664,24.965501137162846
Milan,1423-01-26 20:26 UT (Julian),2240834.351190422,penumbral,0.0,0.776480496456422,40.381322038369845
Paris,1423-01-26 20:26 UT (Julian),2240834.351190422,penumbral,0.0,0.776480496456422,34.88979686802287
Prague,1423-01-26 20:26 UT (Julian),2240834.351190422,penumbral,0.0,0.776480496456422,41.8045229308815
Vienna,1423-01-26 20:26 UT (Julian),2240834.351190422,penumbral,0.0,0.776480496456422,43.8289956224659
Milan,1423-06-24 02:53 UT (Julian),2240982.620337229,penumbral,0.0,0.3155651962852556,7.080114736324153
Paris,1423-06-24 02:53 UT (Julian),2240982.620337229,penumbral,0.0,0.3155651962852556,7.914458949300181
Prague,1423-06-24 02:53 UT (Julian),2240982.620337229,penumbral,0.0,0.3155651962852556,1.609540682469191
Vienna,1423-06-24 02:53 UT (Julian),2240982.620337229,penumbral,0.0,0.3155651962852556,1.7438474257098517
Prague,1423-12-17 15:13 UT (Julian),2241159.133815292,partial,0.036741055738379935,1.0292720525777652,0.3691001127176122
Vienna,1423-12-17 15:13 UT (Julian),2241159.133815292,partial,0.036741055738379935,1.0292720525777652,0.3637694018838088
Milan,1423-12-17 15:52 UT (Julian),2241159.1610775837,penumbral,0.0,0.9062703206484235,0.19705753197010595
Paris,1423-12-17 16:07 UT (Julian),2241159.1712734555,penumbral,0.0,0.803192266304243,0.19633769555476677
Milan,1424-12-06 06:21 UT (Julian),2241513.764915149,total,1.297535272360294,2.267680833877435,5.295158003528271
Paris,1424-12-06 06:21 UT (Julian),2241513.764915149,total,1.297535272360294,2.267680833877435,10.869649379276396
Prague,1424-12-06 06:21 UT (Julian),2241513.764915149,total,1.297535272360294,2.267680833877435,4.427088625872585
Vienna,1424-12-06 06:21 UT (Julian),2241513.764915149,total,1.297535272360294,2.267680833877435,2.4593439890901156
Milan,1425-11-25 21:25 UT (Julian),2241868.3921611565,total,1.1976815653343829,2.1916616457316596,57.65969658308644
Paris,1425-11-25 21:25 UT (Julian),2241868.3921611565,total,1.1976815653343829,2.1916616457316596,51.825603042290176
Prague,1425-11-25 21:25 UT (Julian),2241868.3921611565,total,1.1976815653343829,2.1916616457316596,57.08174619155173
Vienna,1425-11-25 21:25 UT (Julian),2241868.3921611565,total,1.1976815653343829,2.1916616457316596,59.36713681811218
Vienna,1426-11-15 06:17 UT (Julian),2242222.7615596903,penumbral,0.0,0.3731021247278993,0.18483160428006656
Prague,1426-11-15 06:33 UT (Julian),2242222.772672878,penumbral,0.0,0.5189627240655184,0.1850938747289848
Milan,1426-11-15 06:37 UT (Julian),2242222.775385542,penumbral,0.0,0.5515194005646432,0.18446530729799798
Paris,1426-11-15 07:18 UT (Julian),2242222.8044475177,penumbral,0.0,0.8077060175733555,0.1838527766264092
Milan,1427-05-10 23:32 UT (Julian),2242399.480643596,penumbral,0.0,0.011080130523700661,22.358626906140064
Paris,1427-05-10 23:32 UT (Julian),2242399.480643596,penumbral,0.0,0.011080130523700661,18.990351097390274
Prague,1427-05-10 23:32 UT (Julian),2242399.480643596,penumbral,0.0,0.011080130523700661,17.357897158730367
Vienna,1427-05-10 23:32 UT (Julian),2242399.480643596,penumbral,0.0,0.011080130523700661,18.983424557382662
