body_a,body_b,date,jd_ut,separation_deg,ecliptic_longitude_deg,solar_elongation_deg,event_class
Mercury,Jupiter,1404-01-06 00:54 UT (Julian),2233873.5374999843,0.00021543798084167065,294.0404893678017,0.17505802290367,close_conjunction
Mercury,Venus,1404-01-09 03:43 UT (Julian),2233876.654861097,0.0002234209568996448,290.15488899432944,6.881966132087143,close_conjunction
Venus,Jupiter,1404-01-13 16:36 UT (Julian),2233881.191666652,0.00035242957898162786,295.85144261707467,5.797623414675513,close_conjunction
Venus,Saturn,1404-01-28 15:22 UT (Julian),2233896.140277764,0.00015697940676773214,314.596376135416,2.1959643330490053,close_conjunction
Mercury,Jupiter,1404-02-07 11:52 UT (Julian),2233905.994444429,7.988518859747273e-07,301.6069287311344,25.118297832487826,close_conjunction
Mercury,Saturn,1404-02-18 11:46 UT (Julian),2233916.9902777625,0.00015438174096971125,317.0673602274061,20.690632130435915,close_conjunction
Mercury,Venus,1404-03-27 05:46 UT (Julian),2233954.7402777625,9.293449636516016e-06,27.52682490200383,12.413075877949268,close_conjunction
Mercury,Venus,1404-04-18 09:03 UT (Julian),2233976.8770833197,0.00018120170943802805,54.744570983834535,18.090011657237653,close_conjunction
Venus,Mars,1404-05-28 00:58 UT (Julian),2234016.540277762,4.469800171591487e-05,102.9329190587583,28.20460366262961,close_conjunction
Mercury,Mars,1404-07-11 16:01 UT (Julian),2234061.167361097,0.0003290205064558904,131.14088325015769,13.847719363090278,close_conjunction
Mercury,Mars,1404-09-07 12:19 UT (Julian),2234119.0131944288,0.0004304524077554106,168.03635261022566,5.169731010795232,close_conjunction
Mercury,Mars,1404-10-01 10:04 UT (Julian),2234142.91944443,0.0003015157836614435,183.5528621078529,13.255110747393502,close_conjunction
Mercury,Venus,1404-11-13 07:40 UT (Julian),2234185.819444428,0.0003610616801950073,252.5466381322832,12.616932606543912,close_conjunction
Jupiter,Saturn,1405-01-16 20:02 UT (Julian),2234250.3347222055,1.3146284004506015e-05,323.77064837725453,18.167691144832304,great_conjunction
Mercury,Saturn,1405-02-16 15:01 UT (Julian),2234281.125694431,0.0003481580080801905,327.4852110523632,9.160819633998983,close_conjunction
Mercury,Jupiter,1405-02-18 23:42 UT (Julian),2234283.487499985,6.228120912510349e-05,331.7261594102083,7.281656592343097,close_conjunction
Venus,Saturn,1405-03-24 19:42 UT (Julian),2234317.320833317,0.00034740107349762184,331.58242919289864,40.924869010866246,close_conjunction
Venus,Jupiter,1405-04-02 06:22 UT (Julian),2234325.765277762,0.00014675532196406493,341.44523170115826,39.3244378386068,close_conjunction
Mars,Saturn,1405-05-07 12:01 UT (Julian),2234361.000694429,1.4715986083047028e-05,335.0067051491267,79.84534477303202,close_conjunction
Mars,Jupiter,1405-05-30 23:20 UT (Julian),2234384.472222207,2.2731487149485474e-05,351.19490825278285,86.10922226339005,close_conjunction
Mercury,Venus,1405-08-21 06:24 UT (Julian),2234466.7666666512,0.0003848314231333916,152.05237320968473,4.088679590319799,close_conjunction
Mercury,Venus,1405-10-22 06:12 UT (Julian),2234528.758333318,5.2548200955016e-05,229.4629310374945,12.063062414792654,close_conjunction
Mercury,Venus,1405-11-22 10:39 UT (Julian),2234559.9437499857,0.0002480837590610463,268.47499990736964,19.527020733769973,close_conjunction
Venus,Saturn,1406-01-14 09:15 UT (Julian),2234612.885416653,3.005074682960185e-05,334.24613297560984,31.379541060939005,close_conjunction
Venus,Jupiter,1406-01-31 14:56 UT (Julian),2234630.122222205,0.00018099950483474458,355.2927024708207,34.9757007846942,close_conjunction
Mercury,Saturn,1406-02-14 07:38 UT (Julian),2234643.8180555394,0.00047992131516139125,337.9117944081744,3.824624073542225,close_conjunction
Mercury,Jupiter,1406-02-26 15:16 UT (Julian),2234656.1361110974,0.0004188713284918322,1.284345477859573,14.888671372937836,close_conjunction
Mercury,Jupiter,1406-03-31 04:50 UT (Julian),2234688.701388874,6.315215495078519e-05,9.121533207153957,9.392783286451078,close_conjunction
Mercury,Jupiter,1406-04-22 23:40 UT (Julian),2234711.486111096,0.0001880004093095522,14.472783161800882,26.17013947672777,close_conjunction
Mercury,Venus,1406-06-14 21:45 UT (Julian),2234764.406249986,0.0005461119125129699,109.94609326515392,18.639435113030913,close_conjunction
Mercury,Mars,1406-07-10 15:12 UT (Julian),2234790.13333332,0.3477795945597393,142.01539347867634,26.173571819940662,close_conjunction
Mercury,Mars,1406-09-18 07:58 UT (Julian),2234859.831944428,2.352120674231628e-06,186.98726210929732,3.617872774324951,close_conjunction
Mercury,Mars,1406-11-30 11:53 UT (Julian),2234932.995138874,1.0340328088886963e-05,237.21103531676266,19.68676457980166,close_conjunction
Mercury,Mars,1406-12-08 00:03 UT (Julian),2234940.502083318,1.0569115033831622e-05,242.5752356681931,21.972710646536143,close_conjunction
Venus,Mars,1406-12-27 17:29 UT (Julian),2234960.228472207,6.881549779791385e-06,256.85203498046474,27.8088447508876,close_conjunction
Mercury,Saturn,1407-02-12 19:59 UT (Julian),2235007.3326388723,0.00046097379072307376,348.69628973016273,16.33732376936001,close_conjunction
Mercury,Saturn,1407-03-11 00:25 UT (Julian),2235033.5173610956,0.0001096264173270356,351.9369514903332,6.499797802792102,close_conjunction
Mercury,Venus,1407-03-12 23:09 UT (Julian),2235035.4645833187,0.00031191709825861835,350.43204768847363,9.929227896806651,close_conjunction
Venus,Saturn,1407-03-14 12:42 UT (Julian),2235037.029166651,0.00019743064206068084,352.37188903016016,9.53404884334509,close_conjunction
Mercury,Saturn,1407-04-04 03:31 UT (Julian),2235057.646527764,3.9520639290913095e-05,354.8491794057711,27.273810538755015,close_conjunction
Venus,Jupiter,1407-04-23 24:00 UT (Julian),2235077.4999999846,9.243227160027345e-05,42.372809558573124,0.9908212536700489,close_conjunction
Mercury,Jupiter,1407-05-06 05:51 UT (Julian),2235089.7437499845,0.00016434518445862523,45.26587501493294,7.904763232404207,close_conjunction
Mars,Saturn,1407-05-11 16:08 UT (Julian),2235095.172222208,0.00019128335503637572,358.6362642741726,59.74553031471277,close_conjunction
Mercury,Venus,1407-05-19 04:50 UT (Julian),2235102.701388874,0.00030228637814389003,73.36174710219612,7.7705105763379265,close_conjunction
Mercury,Venus,1407-07-01 04:09 UT (Julian),2235145.6729166526,0.000254562978739159,126.01622078785455,19.43868724951787,close_conjunction
Mars,Jupiter,1407-08-17 03:59 UT (Julian),2235192.665972208,4.0350758638396655e-05,64.40755041873857,87.28522910986146,close_conjunction
Mercury,Venus,1408-01-25 15:46 UT (Julian),2235354.1569444304,1.6249975999471644e-05,329.1324938479471,15.331435368409359,close_conjunction
Mercury,Saturn,1408-04-07 04:40 UT (Julian),2235426.69444443,1.24358328434937e-05,6.702932267391114,19.127761911879844,close_conjunction
Venus,Saturn,1408-05-07 02:43 UT (Julian),2235456.6131944275,0.00012175232555478033,10.085360216735731,44.64923189287748,close_conjunction
Mercury,Jupiter,1408-05-10 01:09 UT (Julian),2235459.547916651,0.00018157070377355922,73.11351735526497,15.564043892644122,close_conjunction
Venus,Jupiter,1408-07-13 23:05 UT (Julian),2235524.4618055406,1.424041747100091e-05,87.69119386477848,31.828935428202158,close_conjunction
Mercury,Mars,1408-09-05 18:49 UT (Julian),2235578.284027762,0.00020359611994535953,191.5687602085038,20.02245332040374,close_conjunction
Mercury,Mars,1408-10-13 11:49 UT (Julian),2235615.9923610957,5.5343463060353315e-05,217.31403229420846,8.429241972980606,close_conjunction
Mercury,Venus,1408-10-20 09:40 UT (Julian),2235622.902777764,0.0007185516872141307,208.8130478892099,7.001763946494435,close_conjunction
Venus,Mars,1408-11-14 02:13 UT (Julian),2235647.5923610944,0.00018010475258734004,239.8569171450451,0.8876816731403494,close_conjunction
Mercury,Mars,1408-12-03 05:51 UT (Julian),2235666.7437499845,9.509730472245792e-05,253.93473223792256,6.289091761941336,close_conjunction
Mercury,Venus,1408-12-30 11:25 UT (Julian),2235693.9756944296,1.8462673835983878e-05,298.1857739513654,10.200545093203345,close_conjunction
Mercury,Venus,1409-01-22 02:29 UT (Julian),2235716.6034722053,0.00029293051449030827,326.52614103084477,15.551958669692112,close_conjunction
Mercury,Mars,1409-02-17 15:35 UT (Julian),2235743.1493055415,0.00012325438387961185,312.4680850546425,25.23010272227799,close_conjunction
Mercury,Mars,1409-02-28 10:38 UT (Julian),2235753.9430555413,4.873568684615748e-06,320.9026644316773,27.560324540316117,close_conjunction
Venus,Saturn,1409-03-01 01:43 UT (Julian),2235754.5715277614,2.575708796825893e-05,13.615629207908817,24.52809524041828,close_conjunction
Mercury,Saturn,1409-04-05 09:42 UT (Julian),2235789.904166653,0.0003818009053873084,18.05008919208956,5.800316649713693,close_conjunction
Venus,Jupiter,1409-05-12 07:06 UT (Julian),2235826.795833317,1.641643655148073e-05,99.73455359552622,40.26216907131814,close_conjunction
Mars,Saturn,1409-05-20 20:34 UT (Julian),2235835.3569444274,4.678191842799606e-05,23.43037965290492,44.239568532308624,close_conjunction
Mercury,Jupiter,1409-07-16 18:08 UT (Julian),2235892.2555555403,0.0002720966323010998,113.79880869055295,8.166031143702412,close_conjunction
