location,date,jd_ut,type,magnitude,obscuration,sun_altitude_deg
Milan,1406-06-16 05:56 UT (Julian),2234765.7473153975,partial,0.9210438423669622,0.9127863673694354,21.963110913073297
Paris,1406-06-16 06:01 UT (Julian),2234765.7509642662,total,1.0137910713728444,1.111010195024616,19.07120232908901
Vienna,1406-06-16 06:02 UT (Julian),2234765.75120341,partial,0.8997891001211397,0.8862876307491593,28.151289370246445
Prague,1406-06-16 06:04 UT (Julian),2234765.7530541583,partial,0.9509850983180922,0.9501835030662866,27.46402114381221
Paris,1408-10-19 08:44 UT (Julian),2235621.863744844,partial,0.6554839175731326,0.5706789105528326,17.436555029845525
Milan,1408-10-19 08:49 UT (Julian),2235621.867059521,partial,0.6465128658748455,0.5602560150125173,23.550057141183817
Prague,1408-10-19 08:54 UT (Julian),2235621.871041905,partial,0.48407239588670165,0.37397233507742894,22.16881666166346
Vienna,1408-10-19 08:56 UT (Julian),2235621.872192126,partial,0.4946021930346984,0.38558724130118244,24.54679165619843
Paris,1409-04-15 15:06 UT (Julian),2235800.1288499786,partial,0.8793950706829069,0.8304377757456459,35.84293467915694
Milan,1409-04-15 15:15 UT (Julian),2235800.135162256,partial,0.7645057807858071,0.6909509784350459,31.10410452262125
Prague,1409-04-15 15:16 UT (Julian),2235800.136434627,partial,0.892704677320785,0.8453695783758411,26.346813163795794
Vienna,1409-04-15 15:19 UT (Julian),2235800.1384527204,partial,0.8396203049440001,0.7814126417023215,24.961454631639818
Vienna,1411-08-19 17:43 UT (Julian),2236656.238043196,partial,0.3248016324022784,0.20909344501653468,0.19038273915321746
Prague,1411-08-19 17:54 UT (Julian),2236656.2456839285,partial,0.5526337792759279,0.4454505267895317,0.19062407849197366
Milan,1411-08-19 18:07 UT (Julian),2236656.254975035,partial,0.6230544492285158,0.5261239804064393,0.18998125629446644
Paris,1411-08-19 18:24 UT (Julian),2236656.2669881154,partial,0.929343529187508,0.897372946013297,2.4016439209082856
Milan,1415-06-07 06:00 UT (Julian),2238043.7501909784,total,1.0045502986142614,1.1321875612701908,22.92990412883481
Paris,1415-06-07 06:04 UT (Julian),2238043.753063582,partial,0.9260244508328043,0.92045133627433,19.77823359895675
Vienna,1415-06-07 06:06 UT (Julian),2238043.7543992973,partial,0.9983341756779739,0.9995459256126957,29.156849485304583
Prague,1415-06-07 06:08 UT (Julian),2238043.7558841417,total,1.0093503276161808,1.1355450238992952,28.341888555550536
Paris,1416-11-19 14:55 UT (Julian),2238575.1216893694,partial,0.02064449500976401,0.0034829244018869756,7.4240147304629565
Vienna,1416-11-19 15:02 UT (Julian),2238575.126124227,partial,0.11571595130750323,0.045494188376305124,0.19557173086147284
Prague,1416-11-19 15:02 UT (Julian),2238575.126262185,partial,0.07864469184022356,0.025643733060087978,0.19581580084136446
Milan,1416-11-19 15:09 UT (Julian),2238575.131078123,partial,0.11494978845418166,0.04506412239068331,4.449099281077313
Paris,1418-04-06 09:08 UT (Julian),2239077.8806199566,partial,0.42123191944729893,0.3012123196823126,38.16814168241196
Milan,1418-04-06 09:09 UT (Julian),2239077.881259688,partial,0.3092542346939873,0.19336357899334244,44.04196952548617
Vienna,1418-04-06 09:25 UT (Julian),2239077.8924688664,partial,0.29053459101803963,0.17667933724547863,47.05976656206032
Prague,1418-04-06 09:26 UT (Julian),2239077.8929494447,partial,0.3396213292011389,0.22136922916982463,44.860797878600216
Paris,1419-03-26 09:31 UT (Julian),2239431.896730687,partial,0.21134267089189226,0.11077074738187141,37.12440026827532
Milan,1419-03-26 09:36 UT (Julian),2239431.9002653924,partial,0.3187552141299084,0.20150021932054296,43.36347472904938
Prague,1419-03-26 09:52 UT (Julian),2239431.9109815285,partial,0.2908177805903047,0.1764489456551928,42.736214335460346
Vienna,1419-03-26 09:53 UT (Julian),2239431.9116309667,partial,0.3382316377004235,0.21951226254541997,45.027239176349696
Paris,1424-06-26 15:23 UT (Julian),2241351.1407626537,partial,0.8182516265473209,0.7835603613974028,41.6194838655702
Prague,1424-06-26 15:29 UT (Julian),2241351.144956178,partial,0.948828626619992,0.9479920636709583,32.729577181926274
Vienna,1424-06-26 15:33 UT (Julian),2241351.1476518535,partial,0.9263541021377807,0.9201449158916408,30.85531426059363
Milan,1424-06-26 15:33 UT (Julian),2241351.148027938,partial,0.7984559438232837,0.7581436488528103,35.72027404872514
Paris,1425-11-10 08:35 UT (Julian),2241852.8574979496,partial,0.1127233058695899,0.04399335893578117,10.63135373561859
Milan,1425-11-10 08:41 UT (Julian),2241852.8618410192,partial,0.1264014132919794,0.052147422780119926,16.86258541206233
Prague,1425-11-10 08:47 UT (Julian),2241852.86606125,partial,0.2682673713129118,0.157463291255858,15.468340689042446
Vienna,1425-11-10 08:49 UT (Julian),2241852.867605135,partial,0.26060170789174497,0.1509871762763226,17.886521462209082
