sign,ordinal_source,page,locus,label,raw
Pisces,1,f70v2,"f70v2.2,@Lz",otalalg,otalalg
Pisces,2,f70v2,"f70v2.3,&Lz",okasy,okasy
Pisces,3,f70v2,"f70v2.4,&Lz",otar,otar?
Pisces,4,f70v2,"f70v2.5,&Lz",oty,oty
Pisces,5,f70v2,"f70v2.6,&Lz",oky.ody,oky.ody
Pisces,6,f70v2,"f70v2.7,&Lz",oty.ar,oty.ar
Pisces,7,f70v2,"f70v2.8,&Lz",okaly,okaly
Pisces,8,f70v2,"f70v2.9,&Lz",otody,otody
Pisces,9,f70v2,"f70v2.10,&Lz",otald,otald
Pisces,10,f70v2,"f70v2.11,&Lz",otaldar,otaldar
Pisces,11,f70v2,"f70v2.12,&Lz",okody,okody
Pisces,12,f70v2,"f70v2.13,&Lz",opysam,opysam
Pisces,13,f70v2,"f70v2.14,&Lz",chckhhy,chckhhy
Pisces,14,f70v2,"f70v2.15,&Lz",otaly,otaly
Pisces,15,f70v2,"f70v2.16,&Lz",otal.arar,otal.arar
Pisces,16,f70v2,"f70v2.17,&Lz",otaldy,otaldy
Pisces,17,f70v2,"f70v2.18,&Lz",okeoly,okeoly
Pisces,18,f70v2,"f70v2.19,&Lz",okydy,okydy
Pisces,19,f70v2,"f70v2.20,&Lz",okees,okees
Pisces,20,f70v2,"f70v2.22,@Lz",atar.am,atar.am
Pisces,21,f70v2,"f70v2.23,&Lz",otaral,otaral
Pisces,22,f70v2,"f70v2.24,&Lz",otalar,otalar
Pisces,23,f70v2,"f70v2.25,&Lz",otalam,otalam
Pisces,24,f70v2,"f70v2.26,&Lz",dolaram,dolaram
Pisces,25,f70v2,"f70v2.27,&Lz",okaram,okaram
Pisces,26,f70v2,"f70v2.28,&Lz",oteosal,oteosal
Pisces,27,f70v2,"f70v2.29,&Lz",salols,salols
Pisces,28,f70v2,"f70v2.30,&Lz",okaldal,okaldal
Pisces,29,f70v2,"f70v2.31,&Lz",ykolaiin,ykolaiin
Pisces,30,f70v2,"f70v2.33,@Lz",otolal,otolal
Aries,1,f70v1,"f70v1.2,@Lz",otalchy.tar.am.dy,otalchy.tar.am.dy
Aries,2,f70v1,"f70v1.3,&Lz",opchey.sal,opchey.sal
Aries,3,f70v1,"f70v1.4,&Lz",otakaiman,otakaiman
Aries,4,f70v1,"f70v1.5,&Lz",okalal,okalal
Aries,5,f70v1,"f70v1.6,&Lz",otaly,otaly
Aries,6,f70v1,"f70v1.7,&Lz",oalcheg,oalcheg
Aries,7,f70v1,"f70v1.8,&Lz",otchodals,otchodals
Aries,8,f70v1,"f70v1.9,&Lz",okolshy,okolshy
Aries,9,f70v1,"f70v1.10,&Lz",otshshdy,otshshdy
Aries,10,f70v1,"f70v1.11,&Lz",otal.ypsharal,otal.ypsharal
Aries,11,f70v1,"f70v1.13,@Lz",okoly,okoly
Aries,12,f70v1,"f70v1.14,&Lz",otalaiin,otalaiin
Aries,13,f70v1,"f70v1.15,&Lz",oteo.alols.araly,oteo.alols.araly
Aries,14,f70v1,"f70v1.16,&Lz",oteoeey.otal.okealar,oteoeey.otal.okealar
Aries,15,f70v1,"f70v1.17,&Lz",otear.araydy,otear.araydy
Aries,16,f71r,"f71r.2,@Lz",oteos.arar,oteos.arar
Aries,17,f71r,"f71r.3,&Lz",okldam,okldam
Aries,18,f71r,"f71r.4,&Lz",oteoaldy,oteoaldy
Aries,19,f71r,"f71r.5,&Lz",oteolar,oteolar
Aries,20,f71r,"f71r.6,&Lz",okeoaly,okeoaly
Aries,21,f71r,"f71r.7,&Lz",otaleky,otaleky
Aries,22,f71r,"f71r.8,&Lz",otalsar,otalsar
Aries,23,f71r,"f71r.9,&Lz",cheary,cheary
Aries,24,f71r,"f71r.10,&Lz",oteokey.sary,oteokey.sary
Aries,25,f71r,"f71r.11,&Lz",otalaly,otalaly
Aries,26,f71r,"f71r.13,@Lz",otolchdy,otolchdy
Aries,27,f71r,"f71r.14,&Lz",otoloaram,otoloaram
Aries,28,f71r,"f71r.15,&Lz",oteeol,oteeol
Aries,29,f71r,"f71r.16,&Lz",otolchd,otolchd
Aries,30,f71r,"f71r.17,&Lz",otaldar,"otal,dar"
Taurus,1,f71v,"f71v.2,@Lz",char.orom,char.orom
Taurus,2,f71v,"f71v.3,&Lz",chfaly,chfaly
Taurus,3,f71v,"f71v.4,&Lz",okolar,okolar
Taurus,4,f71v,"f71v.5,&Lz",otchody,otchody
Taurus,5,f71v,"f71v.6,&Lz",alcphy,alcphy
Taurus,6,f71v,"f71v.7,&Lz",otaiin,otaiin
Taurus,7,f71v,"f71v.8,&Lz",okaraiin,okaraiin
Taurus,8,f71v,"f71v.9,&Lz",otar.araly,otar.araly
Taurus,9,f71v,"f71v.10,&Lz",opalar.am.dan,opalar.am.dan
Taurus,10,f71v,"f71v.11,&Lz",opalor.ar,opalor.ar
Taurus,11,f71v,"f71v.13,@Lz",ofacfom,ofacfom
Taurus,12,f71v,"f71v.14,&Lz",otalody,otalody
Taurus,13,f71v,"f71v.15,&Lz",otalaiin,otalaiin
Taurus,14,f71v,"f71v.16,&Lz",otar.shar,otar.shar
Taurus,15,f71v,"f71v.17,&Lz",sholshdy,sholshdy
Taurus,16,f72r1,"f72r1.2,@Lz",oshodady,oshodady
Taurus,17,f72r1,"f72r1.3,&Lz",chdaiirdainy,chdaiirdainy
Taurus,18,f72r1,"f72r1.4,&Lz",oaiinarary,oaiinarary
Taurus,19,f72r1,"f72r1.5,&Lz",okalam,okalam
Taurus,20,f72r1,"f72r1.6,&Lz",ytalshdy,ytalshdy
Taurus,21,f72r1,"f72r1.7,&Lz",char.alif,char.alif
Taurus,22,f72r1,"f72r1.8,&Lz",otaraldy,otaraldy
Taurus,23,f72r1,"f72r1.9,&Lz",otaiin.otain,otaiin.otain
Taurus,24,f72r1,"f72r1.10,&Lz",otalef.ys.ainam,otalef.ys.ainam
Taurus,25,f72r1,"f72r1.11,&Lz",ochol.sharam,ochol.sharam
Taurus,26,f72r1,"f72r1.13,@Lz",ofaralar,ofaralar
Taurus,27,f72r1,"f72r1.14,&Lz",otchoshy,otchoshy
Taurus,28,f72r1,"f72r1.15,&Lz",otchdal,otchdal
Taurus,29,f72r1,"f72r1.16,&Lz",okeey.ary,okeey.ary
Taurus,30,f72r1,"f72r1.17,&Lz",otainy,otainy
Gemini,1,f72r2,"f72r2.1,@Lz",opchdamy,opchdamy
Gemini,2,f72r2,"f72r2.2,&Lz",oklairdy,oklairdy
Gemini,3,f72r2,"f72r2.3,&Lz",okaram,"okar,am"
Gemini,4,f72r2,"f72r2.4,&Lz",okairy,okairy
Gemini,5,f72r2,"f72r2.5,&Lz",okealar,okealar
Gemini,6,f72r2,"f72r2.7,@Lz",otaraldy,otaraldy
Gemini,7,f72r2,"f72r2.8,&Lz",okalar,okalar
Gemini,8,f72r2,"f72r2.9,&Lz",okal,okal
Gemini,9,f72r2,"f72r2.10,&Lz",okaly,okaly
Gemini,10,f72r2,"f72r2.11,&Lz",okal,okal
Gemini,11,f72r2,"f72r2.12,&Lz",okeey.ary,okeey.ary
Gemini,12,f72r2,"f72r2.13,&Lz",oteeary,oteeary
Gemini,13,f72r2,"f72r2.14,&Lz",otairdy,otairdy
Gemini,14,f72r2,"f72r2.15,&Lz",okaircham,okaircham
Gemini,15,f72r2,"f72r2.16,&Lz",okealy,okealy
Gemini,16,f72r2,"f72r2.17,&Lz",otarcr,otarcr
Gemini,17,f72r2,"f72r2.18,&Lz",okaly,okaly
Gemini,18,f72r2,"f72r2.19,&Lz",orary,orary
Gemini,19,f72r2,"f72r2.20,&Lz",okyd,okyd
Gemini,20,f72r2,"f72r2.21,&Lz",otolam,otolam
Gemini,21,f72r2,"f72r2.23,@Lz",otal,otal
Gemini,22,f72r2,"f72r2.24,&Lz",salal,salal
Gemini,23,f72r2,"f72r2.25,&Lz",okam,okam
Gemini,24,f72r2,"f72r2.26,&Lz",otalshy,otalshy
Gemini,25,f72r2,"f72r2.27,&Lz",okaldy,okaldy
Gemini,26,f72r2,"f72r2.28,&Lz",chasar,chasar
Gemini,27,f72r2,"f72r2.29,&Lz",otam,otam
Gemini,28,f72r2,"f72r2.30,&Lz",ainaly,ainaly
Gemini,29,f72r2,"f72r2.31,&Lz",okarcham,okarcham
Cancer,1,f72r3,"f72r3.2,@Lz",olkalaiin,olkalaiin
Cancer,2,f72r3,"f72r3.3,&Lz",olalsy,olalsy
Cancer,3,f72r3,"f72r3.4,&Lz",oraiinam,oraiinam
Cancer,4,f72r3,"f72r3.5,&Lz",osarsheeeo,osarsheeeo
Cancer,5,f72r3,"f72r3.6,&Lz",otoraiin,otoraiin
Cancer,6,f72r3,"f72r3.7,&Lz",opoiiinoin.alches,opoiiinoin.alches
Cancer,7,f72r3,"f72r3.8,&Lz",ypaiin.alaly,ypaiin.alaly
Cancer,8,f72r3,"f72r3.9,&Lz",oteeydaiin,oteeydaiin
Cancer,9,f72r3,"f72r3.10,&Lz",oeeodaiin,oeeodaiin
Cancer,10,f72r3,"f72r3.11,&Lz",ofsholdy,ofsholdy
Cancer,11,f72r3,"f72r3.12,&Lz",opoeey.okaiin,opoeey.okaiin
Cancer,12,f72r3,"f72r3.13,&Lz",ykalairol,ykalairol
Cancer,13,f72r3,"f72r3.15,@Lz",aralkam,aralkam
Cancer,14,f72r3,"f72r3.16,&Lz",ytairal,ytairal
Cancer,15,f72r3,"f72r3.17,&Lz",oeeesaiin,oeeesaiin
Cancer,16,f72r3,"f72r3.18,&Lz",ory,ory
Cancer,17,f72r3,"f72r3.19,&Lz",ochey.fydy,ochey.fydy
Cancer,18,f72r3,"f72r3.20,&Lz",of.o.eeesaly,of???.o.eeesaly
Cancer,19,f72r3,"f72r3.21,&Lz",ykaraiin.airal,ykaraiin.airal
Cancer,20,f72r3,"f72r3.22,&Lz",okalar,okalar
Cancer,21,f72r3,"f72r3.23,&Lz",osary,osary
Cancer,22,f72r3,"f72r3.24,&Lz",olaiin.olackhy,olaiin.olackhy
Cancer,23,f72r3,"f72r3.25,&Lz",olfsheoral,olfsheoral
Cancer,24,f72r3,"f72r3.27,@Lz",opalal,opalal
Cancer,25,f72r3,"f72r3.28,&Lz",yfary,yfary
Cancer,26,f72r3,"f72r3.29,&Lz",osaiiral,osaiiral
Cancer,27,f72r3,"f72r3.30,&Lz",ytoar.shar,ytoar.shar
Cancer,28,f72r3,"f72r3.31,&Lz",octho,octho
Cancer,29,f72r3,"f72r3.32,&Lz",aral,aral
Cancer,30,f72r3,"f72r3.33,&Lz",oletal,oletal
Leo,1,f72v3,"f72v3.2,@Lz",ochog,ochog
Leo,2,f72v3,"f72v3.3,&Lz",oreeey,oreeey
Leo,3,f72v3,"f72v3.4,&Lz",ykam,ykam
Leo,4,f72v3,"f72v3.5,&Lz",okey,okey
Leo,5,f72v3,"f72v3.6,&Lz",otcheody,otcheody
Leo,6,f72v3,"f72v3.7,&Lz",okyeeshy,okyeeshy
Leo,7,f72v3,"f72v3.8,&Lz",syofaiin,syofaiin
Leo,8,f72v3,"f72v3.9,&Lz",akoly,akoly
Leo,9,f72v3,"f72v3.10,&Lz",otoly,otoly
Leo,10,f72v3,"f72v3.11,&Lz",ofalals,ofalals
Leo,11,f72v3,"f72v3.12,&Lz",sheeos.ocphhy,sheeos.ocphhy
Leo,12,f72v3,"f72v3.13,&Lz",daiin.chepo,daiin.chepo
Leo,13,f72v3,"f72v3.14,&Lz",oteey.deeyl,oteey.deeyl
Leo,14,f72v3,"f72v3.15,&Lz",chealpy,chealpy
Leo,15,f72v3,"f72v3.16,&Lz",okeeol,okeeol
Leo,16,f72v3,"f72v3.17,&Lz",okaly,okaly
Leo,17,f72v3,"f72v3.18,&Lz",okaldy,okaldy
Leo,18,f72v3,"f72v3.19,&Lz",okeolog,okeolog
Leo,19,f72v3,"f72v3.21,@Lz",choleey,choleey
Leo,20,f72v3,"f72v3.22,&Lz",oky,oky
Leo,21,f72v3,"f72v3.23,&Lz",chcthhy,chcthhy
Leo,22,f72v3,"f72v3.24,&Lz",laly,laly
